tags,elapsed_s,start_unix,end_unix
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-32909.zip']",58.86,1713122746.87,1713122805.73
"['initialize-parser', '76ea4224-87b2-4403-9e79-96631db065eb']",0.00,1713122807.25,1713122807.25
"['parser-parse', '1c6afc0b-24d4-404a-baa2-b135d8aacb9e']",57.79,1713122748.30,1713122806.09
"['write-jsonl', '1c6afc0b-24d4-404a-baa2-b135d8aacb9e']",0.00,1713122806.09,1713122806.09
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-21447.zip']",57.79,1713122748.30,1713122806.09
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-21447.zip']",59.19,1713122746.91,1713122806.09
"['initialize-parser', '956e316a-2121-47fe-a927-94cb23791e37']",0.00,1713122807.66,1713122807.66
"['parser-parse', '65ede09c-51b9-4c40-979a-2541e6db444a']",55.53,1713122801.12,1713122856.65
"['write-jsonl', '65ede09c-51b9-4c40-979a-2541e6db444a']",0.00,1713122856.65,1713122856.65
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-33219.zip']",55.53,1713122801.12,1713122856.65
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-33219.zip']",57.16,1713122799.50,1713122856.66
"['initialize-parser', 'fca2f7d9-356d-4d7e-8c69-cde72dc33e84']",0.00,1713122858.27,1713122858.27
"['parser-parse', 'ec2fad45-7be2-4540-98e8-c24f6807045f']",55.67,1713122803.35,1713122859.02
"['write-jsonl', 'ec2fad45-7be2-4540-98e8-c24f6807045f']",0.00,1713122859.02,1713122859.02
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-25994.zip']",55.67,1713122803.35,1713122859.02
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-25994.zip']",57.23,1713122801.80,1713122859.02
"['initialize-parser', 'f195a841-7aea-417a-bc25-1c53dd3f743c']",0.00,1713122860.58,1713122860.58
"['parser-parse', '73033085-9782-48c2-9509-2636ad07d633']",56.20,1713122802.83,1713122859.04
"['write-jsonl', '73033085-9782-48c2-9509-2636ad07d633']",0.00,1713122859.04,1713122859.04
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-14002.zip']",56.20,1713122802.83,1713122859.04
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-14002.zip']",57.74,1713122801.30,1713122859.04
"['initialize-parser', 'c6d40056-b0e5-46f7-b225-0e5c0c5a1532']",0.00,1713122860.62,1713122860.62
"['parser-parse', 'f8b12a7a-50d9-4306-bf00-00b3680be7c0']",56.23,1713122803.41,1713122859.63
"['write-jsonl', 'f8b12a7a-50d9-4306-bf00-00b3680be7c0']",0.00,1713122859.63,1713122859.64
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-20668.zip']",56.23,1713122803.41,1713122859.64
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-20668.zip']",57.74,1713122801.90,1713122859.64
"['initialize-parser', 'd4af6513-95c2-40fa-9ac2-75010cbe6bd4']",0.00,1713122861.19,1713122861.19
"['parser-parse', '1432608e-b355-44b6-a047-f5819989e7f9']",57.28,1713122804.63,1713122861.91
"['write-jsonl', '1432608e-b355-44b6-a047-f5819989e7f9']",0.00,1713122861.91,1713122861.91
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-32184.zip']",57.28,1713122804.62,1713122861.91
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-32184.zip']",58.86,1713122803.05,1713122861.91
